Technical name,Description,Value Type,Range from - until,Unit
ConnectedRide_CloudSync.ProtocolBuffers.RouteSettings_avoidMotorways,[protocol buffers field 3] Option to avoid motorways for the route,enum,,"ALLOW = 0;AVOID = 1;FORBID = 2"
ConnectedRide_CloudSync.ProtocolBuffers.RouteSettings_avoidTollRoads,[protocol buffers field 4] Option to avoid toll roads for the route,enum,,"ALLOW = 0;AVOID = 1;FORBID = 2"
ConnectedRide_CloudSync.ProtocolBuffers.RouteSettings_avoidDirtRoads,[protocol buffers field 5] Option to avoid dirt roads for the route,enum,,"ALLOW = 0;AVOID = 1;FORBID = 2"
ConnectedRide_CloudSync.ProtocolBuffers.RouteSettings_avoidFerries,[protocol buffers field 6] Option to avoid ferries for the route,enum,,"ALLOW = 0;AVOID = 1;FORBID = 2"
ConnectedRide_CloudSync.ProtocolBuffers.RouteSettings_avoidTunnels,[protocol buffers field 7] option to avoid tunnels for the route,enum,,"ALLOW = 0;AVOID = 1;FORBID = 2"
ConnectedRide_CloudSync.ProtocolBuffers.RouteSettings_transportMode,[protocol buffers field 9] Transportation option,enum,,"VEHICLE = 0;PEDESTRIAN = 1"
ConnectedRide_CloudSync.ProtocolBuffers.RouteSettings_hilliness,[protocol buffers field 10] Level of hillingness,enum,,"HILLINESS_IGNORE = 0;HILLINESS_AVOID = 1;HILLINESS_PREFER = 2"
ConnectedRide_CloudSync.ProtocolBuffers.RouteSettings_avoidBorderCrossings,[protocol buffers field 11] Option to avoid border crossings.,enum,,"HILLINESS_IGNORE = 0;HILLINESS_AVOID = 1;HILLINESS_PREFER = 2"
ConnectedRide_CloudSync.ProtocolBuffers.RouteSettings_avoidAlreadyUsedRoads,[protocol buffers field 12] Option to avoid already used roads.,enum,,"HILLINESS_IGNORE = 0;HILLINESS_AVOID = 1;HILLINESS_PREFER = 2"
ConnectedRide_CloudSync.ProtocolBuffers.RouteSettings_avoidCarTrains,[protocol buffers field 13] Option to avoid car trains.,enum,,"HILLINESS_IGNORE = 0;HILLINESS_AVOID = 1;HILLINESS_PREFER = 2"
ConnectedRide_CloudSync.ProtocolBuffers.Settings_dynamicRoutingEnabled,[protocol buffers field 4] Option to enable dynamic routing for the route.,bool,false .. true,true
